date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:50:13	76851/76851	---MCZ	200	added ('OK')	text/html	etag:W/%2212c33-gGpfVfOLKfpSM60mdOHIsaoyCak%22	https://massagesalon-haarlem.fast-results.net/page/let-go-best-holistische-massage-haarlem-4ZJXhoXa9t	C:/My%20Web%20Sites/massagesalon-haarlem/page/let-go-best-holistische-massage-haarlem-4ZJXhoXa9t.html	(from https://massagesalon-haarlem.fast-results.net/)
17:50:13	84306/84306	---M--	200	added ('OK')	image/jpeg	etag:%22a8580f60a7938777e277eba74f5470ff%22	https://cdn.pixabay.com/photo/2020/03/08/14/48/spa-4912659_960_720.jpg	C:/My%20Web%20Sites/massagesalon-haarlem/photo/2020/03/08/14/48/spa-4912659_960_720.jpg	(from https://massagesalon-haarlem.fast-results.net/)
17:50:13	76983/76983	---MCZ	200	added ('OK')	text/html	etag:W/%2212cb7-4qfjneqY3UZ77hJZenlOOUIj9jo%22	https://massagesalon-haarlem.fast-results.net/page/let-go-top-bindweefselmassage-haarlem-qW4U5Hpv5iI	C:/My%20Web%20Sites/massagesalon-haarlem/page/let-go-top-bindweefselmassage-haarlem-qW4U5Hpv5iI.html	(from https://massagesalon-haarlem.fast-results.net/)
17:50:13	37339/37339	---M--	200	added ('OK')	image/jpeg	etag:%22c10aebc90c9e87ac6137d40e16cadfea%22	https://cdn.pixabay.com/photo/2020/07/08/01/31/spa-5382258_960_720.jpg	C:/My%20Web%20Sites/massagesalon-haarlem/photo/2020/07/08/01/31/spa-5382258_960_720.jpg	(from https://massagesalon-haarlem.fast-results.net/)
17:50:14	76952/76952	---MCZ	200	added ('OK')	text/html	etag:W/%2212c98-78JJ9xU/jOKFk89sKKpDboyLAPg%22	https://massagesalon-haarlem.fast-results.net/page/de-stress-top-haarlem-deep-tissue-massage-rTal09mcLoV	C:/My%20Web%20Sites/massagesalon-haarlem/page/de-stress-top-haarlem-deep-tissue-massage-rTal09mcLoV.html	(from https://massagesalon-haarlem.fast-results.net/)
17:50:14	59070/59070	---M--	200	added ('OK')	image/jpeg	etag:%2203bcae496db23bdf45c4581782849445%22	https://cdn.pixabay.com/photo/2017/05/22/06/13/massage-2333200_960_720.jpg	C:/My%20Web%20Sites/massagesalon-haarlem/photo/2017/05/22/06/13/massage-2333200_960_720.jpg	(from https://massagesalon-haarlem.fast-results.net/)
17:50:14	76326/76326	---MCZ	200	added ('OK')	text/html	etag:W/%2212a26-xvYlBkKGVK2W5cDyJjFinFdr6P8%22	https://massagesalon-haarlem.fast-results.net/page/let-go-best-ontspanningsmassage-haarlem-xSJXiHUEuXB	C:/My%20Web%20Sites/massagesalon-haarlem/page/let-go-best-ontspanningsmassage-haarlem-xSJXiHUEuXB.html	(from https://massagesalon-haarlem.fast-results.net/)
17:50:15	75990/75990	---MCZ	200	added ('OK')	text/html	etag:W/%22128d6-fAU5/s1DQXaYASiUivJFbDooKSk%22	https://massagesalon-haarlem.fast-results.net/page/relax-top-holistic-massage-haarlem-cMU3grElp0M	C:/My%20Web%20Sites/massagesalon-haarlem/page/relax-top-holistic-massage-haarlem-cMU3grElp0M.html	(from https://massagesalon-haarlem.fast-results.net/)
17:50:15	61970/61970	---M--	200	added ('OK')	image/jpeg	etag:%222991fe24e3510c86fd7c9e61f9b15a6c%22	https://cdn.pixabay.com/photo/2014/07/11/08/54/massage-389719_1280.jpg	C:/My%20Web%20Sites/massagesalon-haarlem/photo/2014/07/11/08/54/massage-389719_1280.jpg	(from https://massagesalon-haarlem.fast-results.net/)
17:50:15	77564/77564	---MCZ	200	added ('OK')	text/html	etag:W/%2212efc-b6Zy37t8+ONNswW9vmqQp1Wdw1k%22	https://massagesalon-haarlem.fast-results.net/page/let-go-top-ontspannings-massage-haarlem-BsYDSj6Yrwy	C:/My%20Web%20Sites/massagesalon-haarlem/page/let-go-top-ontspannings-massage-haarlem-BsYDSj6Yrwy.html	(from https://massagesalon-haarlem.fast-results.net/)
17:50:15	49855/49855	---M--	200	added ('OK')	image/jpeg	etag:%22bbb31f55afe71d0e1151ebc89cc429cf%22	https://cdn.pixabay.com/photo/2019/09/16/17/43/spa-4481583_960_720.jpg	C:/My%20Web%20Sites/massagesalon-haarlem/photo/2019/09/16/17/43/spa-4481583_960_720.jpg	(from https://massagesalon-haarlem.fast-results.net/)
17:50:16	77388/77388	---MCZ	200	added ('OK')	text/html	etag:W/%2212e4c-a/MFNYgK1NYROLfEzhak7BfswiQ%22	https://massagesalon-haarlem.fast-results.net/page/de-stress-best-massagesalon-haarlem-8zRC09NTsir	C:/My%20Web%20Sites/massagesalon-haarlem/page/de-stress-best-massagesalon-haarlem-8zRC09NTsir.html	(from https://massagesalon-haarlem.fast-results.net/)
17:50:16	212646/212646	---M--	200	added ('OK')	image/png	etag:%22a59c1e068d5fa87489c41cea347643e6%22	https://cdn.pixabay.com/photo/2016/04/01/09/23/abstract-1299334_1280.png	C:/My%20Web%20Sites/massagesalon-haarlem/photo/2016/04/01/09/23/abstract-1299334_1280.png	(from https://massagesalon-haarlem.fast-results.net/)
17:50:17	76917/76917	---MCZ	200	added ('OK')	text/html	etag:W/%2212c75-Khr3qeR8QXbZPsv9Aylx9sjLZEE%22	https://massagesalon-haarlem.fast-results.net/page/de-stress-best-relax-massage-haarlem-E0-4wq4KScZ	C:/My%20Web%20Sites/massagesalon-haarlem/page/de-stress-best-relax-massage-haarlem-E0-4wq4KScZ.html	(from https://massagesalon-haarlem.fast-results.net/)
17:50:17	77957/77957	---MCZ	200	added ('OK')	text/html	etag:W/%2213085-USrWl1K8g+LOkfifNAatFSqOqlU%22	https://massagesalon-haarlem.fast-results.net/page/let-go-best-cupping-massage-haarlem-O6i4nhyiki_	C:/My%20Web%20Sites/massagesalon-haarlem/page/let-go-best-cupping-massage-haarlem-O6i4nhyiki_.html	(from https://massagesalon-haarlem.fast-results.net/categories/sportmassage-in-haarlem)
17:50:17	76414/76414	---MCZ	200	added ('OK')	text/html	etag:W/%2212a7e-kfW7jOw5Tr1vuAzGLHqpnSCliVY%22	https://massagesalon-haarlem.fast-results.net/page/unwind-top-sport-massage-haarlem-SXttQPsa4rJ	C:/My%20Web%20Sites/massagesalon-haarlem/page/unwind-top-sport-massage-haarlem-SXttQPsa4rJ.html	(from https://massagesalon-haarlem.fast-results.net/categories/sportmassage-in-haarlem)
17:50:17	80728/80728	---M--	200	added ('OK')	image/jpeg	etag:%226238a7b9a6f3f9228b50b397e82bbf9d%22	https://cdn.pixabay.com/photo/2020/08/30/14/53/massage-5529798_1280.jpg	C:/My%20Web%20Sites/massagesalon-haarlem/photo/2020/08/30/14/53/massage-5529798_1280.jpg	(from https://massagesalon-haarlem.fast-results.net/categories/sportmassage-in-haarlem)
17:50:18	76905/76905	---MCZ	200	added ('OK')	text/html	etag:W/%2212c69-cj8vb6/XhlTHNlhgj2MW5vfAogg%22	https://massagesalon-haarlem.fast-results.net/page/unwind-best-professionele-massage-haarlem-UaX3pc9C2CS	C:/My%20Web%20Sites/massagesalon-haarlem/page/unwind-best-professionele-massage-haarlem-UaX3pc9C2CS.html	(from https://massagesalon-haarlem.fast-results.net/categories/sportmassage-in-haarlem)
17:50:18	77405/77405	---MCZ	200	added ('OK')	text/html	etag:W/%2212e5d-rqL2w/VYdIIdcgC68oYGqgF2nEU%22	https://massagesalon-haarlem.fast-results.net/page/let-go-best-triggerpoint-massage-haarlem-I9mMk99VJoa	C:/My%20Web%20Sites/massagesalon-haarlem/page/let-go-best-triggerpoint-massage-haarlem-I9mMk99VJoa.html	(from https://massagesalon-haarlem.fast-results.net/categories/sportmassage-in-haarlem)
17:50:18	77563/77563	---MCZ	200	added ('OK')	text/html	etag:W/%2212efb-14qrDMa0eViKFaDmahSKVYZtvec%22	https://massagesalon-haarlem.fast-results.net/page/relax-best-bindweefsel-massage-haarlem-E_oHAvZmgVc	C:/My%20Web%20Sites/massagesalon-haarlem/page/relax-best-bindweefsel-massage-haarlem-E_oHAvZmgVc.html	(from https://massagesalon-haarlem.fast-results.net/categories/sportmassage-in-haarlem)
17:50:19	31511/31511	---M--	200	added ('OK')	image/jpeg	etag:%228b5363a093169d18fb643bafbf2e83e3%22	https://cdn.pixabay.com/photo/2014/03/11/22/56/wellness-285587_640.jpg	C:/My%20Web%20Sites/massagesalon-haarlem/photo/2014/03/11/22/56/wellness-285587_640.jpg	(from https://massagesalon-haarlem.fast-results.net/categories/sportmassage-in-haarlem)
17:50:19	75807/75807	---MCZ	200	added ('OK')	text/html	etag:W/%221281f-q8KpGwrOsjfxdJzUYRGFrv2mkDg%22	https://massagesalon-haarlem.fast-results.net/page/unwind-top-haarlem-massage-7xVc6AKW9us	C:/My%20Web%20Sites/massagesalon-haarlem/page/unwind-top-haarlem-massage-7xVc6AKW9us.html	(from https://massagesalon-haarlem.fast-results.net/categories/sportmassage-in-haarlem)
